ID,NACIONALIDAD,TIPO_SONIDO,CANT_JUGADORES,FICHAS_MAX,SALON,JUEGO
25,China,STEREO,3,284,Salon VR,Arkanoid
58,China,MONO,3,338,Salon Carreras,Arkanoid
93,Philippines,STEREO,3,120,Salon Retro,Arkanoid
95,United States,MONO,2,218,Salon 6,Arkanoid
125,Greece,STEREO,3,202,Salon 4,Arkanoid
131,South Africa,MONO,2,290,Salon 5,Arkanoid
187,Comoros,STEREO,2,275,Salon 5,Arkanoid
188,Sweden,MONO,5,449,Salon Carreras,Arkanoid
251,Mongolia,MONO,3,174,Salon Carreras,Arkanoid
262,Nigeria,MONO,4,282,Salon 2021,Arkanoid
297,Senegal,STEREO,2,367,Salon 6,Arkanoid
335,Ukraine,MONO,3,216,Salon 4,Arkanoid
341,Russia,STEREO,4,229,Salon VR,Arkanoid
353,Japan,MONO,5,184,Salon 4,Arkanoid
369,United Kingdom,STEREO,4,202,Salon Carreras,Arkanoid
391,China,STEREO,4,423,Salon 4,Arkanoid
393,Philippines,STEREO,3,336,Salon Retro,Arkanoid
439,China,STEREO,3,201,Salon VR,Arkanoid
474,Indonesia,MONO,4,142,Salon 5,Arkanoid
488,Argentina,MONO,4,396,Salon VR,Arkanoid
492,Portugal,STEREO,5,199,Salon Carreras,Arkanoid
28,Sweden,MONO,2,147,Salon Retro,Asteroids
30,France,MONO,4,480,Salon 1,Asteroids
36,Indonesia,STEREO,5,469,Salon 2021,Asteroids
73,China,MONO,4,167,Salon 2,Asteroids
77,Poland,STEREO,3,122,Salon 3,Asteroids
130,Argentina,STEREO,2,182,Salon 2021,Asteroids
136,Armenia,MONO,3,374,Salon 4,Asteroids
163,Russia,MONO,3,438,Salon 3,Asteroids
165,Venezuela,STEREO,5,198,Salon 5,Asteroids
168,Brazil,MONO,2,163,Salon 1,Asteroids
286,Poland,STEREO,4,239,Salon 5,Asteroids
331,China,STEREO,5,330,Salon Carreras,Asteroids
362,Democratic Republic of the Congo,MONO,2,381,Salon 6,Asteroids
420,Sweden,STEREO,2,183,Salon 3,Asteroids
442,Dominican Republic,MONO,4,274,Salon 4,Asteroids
482,Russia,STEREO,5,354,Salon 4,Asteroids
3,Philippines,STEREO,5,414,Salon Carreras,Bubble Bobble
7,Indonesia,MONO,2,428,Salon 1,Bubble Bobble
